transaction_line_id,transaction_sk,line_number,sku_code,category_code,quantity,unit_price,discount_amount,tax_amount,line_total,created_at
LINE-D501D5A9AD064F,b645c89f-d2d2-4fcd-ba2f-687d7e4e643d,1,MADE336LL/A,IPH,1,834.47,0.0,208.62,1043.09,2021-09-16 08:56:18
LINE-022CD9EFDD3549,cc6e522d-ba83-4cac-8dae-255a688a3d91,1,ME8BAA3LL/A,ACC,2,106.03,0.0,53.02,265.08,2021-03-16 02:07:00
LINE-97D3D34F6ACB41,0247591f-367c-4126-a7ff-f1fe97b7421f,1,MD11968LL/A,MAC,1,2328.47,0.0,582.12,2910.59,2021-10-12 18:40:25
LINE-C380EA2D4F544F,f507f9d1-cfaa-4558-b1aa-d5646eb19f85,1,MB5931FLL/A,AIR,1,162.53,0.0,40.63,203.16,2021-07-28 14:42:50
LINE-AC6A20651BDE49,b324449d-4efe-49fc-8606-23209e923872,1,M383651LL/A,IPH,1,787.73,0.0,196.93,984.66,2021-08-08 14:24:45
LINE-561AA81C41E741,47f17fcb-eac8-48d9-9870-cd82f72ce7d8,1,M86AB67LL/A,ACC,1,60.46,0.0,15.12,75.58,2021-07-20 12:55:25
LINE-81FA7AC19FE84C,fd2f100b-697a-49ce-97ae-69808528d26b,1,MB0701ELL/A,TV,1,159.73,15.97,35.94,179.7,2021-01-08 20:47:03
LINE-9D59CD83D11F4E,bdf05be1-9e7a-4594-a7ad-e7876558553c,1,M5F3637LL/A,IPH,1,1243.19,0.0,310.8,1553.99,2021-08-27 15:14:26
LINE-B3FC8A160B5940,340fe97f-069f-44d6-ae8b-4fe389f992bd,1,M10AEC6LL/A,WCH,1,872.71,0.0,218.18,1090.89,2021-02-28 11:06:38
LINE-B010A9ADFA8A45,212f1ab5-6a46-460f-97cc-0c7c727d058f,1,MCE301FLL/A,IPH,1,1186.35,0.0,296.59,1482.94,2021-07-31 15:42:15
LINE-57A112C1FFD747,ee787f35-a14c-4bf5-a199-eec46417e636,1,MB9AD20LL/A,IPH,1,1514.43,75.72,359.68,1798.39,2021-04-29 09:04:02
LINE-F6C53AFD4E484D,4749ed9f-7eb3-4aa5-983d-5e5a8adf69b6,1,M10ABA4LL/A,AIR,1,229.68,0.0,57.42,287.1,2021-11-17 15:26:53
LINE-25F7751140424A,8a2b3700-5b22-4638-804c-294a4de2c063,1,M8C3384LL/A,ACC,2,54.16,0.0,27.08,135.4,2021-11-02 09:24:51
LINE-A000BD0F2CBD4B,f9e8cbb1-c437-4aa6-800e-4ad1eab54d26,1,MB99BBBLL/A,TV,1,135.23,13.52,30.43,152.14,2021-11-20 11:00:45
LINE-EA2F3D7D61A84C,2825b960-083f-4abd-85d7-681e5c05f221,1,MCC0701LL/A,IPH,1,1160.55,0.0,290.14,1450.69,2021-08-17 08:15:16
LINE-503DFE1F9CAB44,338a3d30-60ba-4a57-b92c-c2a7764e373a,1,MBBFE23LL/A,TV,1,163.92,0.0,40.98,204.9,2021-12-14 12:10:46
LINE-130A7A097DFF40,8d61f059-5f35-4ffd-afa7-f60660a8bf9d,1,MF9A435LL/A,ACC,1,101.18,5.06,24.03,120.15,2021-12-31 11:09:14
LINE-AE85A9B459C341,d3915398-661c-402d-92a6-e278b411dd5c,1,M377C56LL/A,IPH,1,1587.77,79.39,377.09,1885.47,2021-05-11 16:21:03
LINE-541ACFC1AD2B41,7bba30c1-21a6-4fe3-9197-3c037e6a66e4,1,M953EA1LL/A,IPH,1,1516.25,0.0,379.06,1895.31,2021-05-15 08:17:37
LINE-16761CE78E4F4C,bb481225-b2c8-49d7-9362-3d2368e7b004,1,M8C3384LL/A,ACC,2,31.88,0.0,15.94,79.7,2021-06-18 18:08:39
LINE-924A9F4ED49A41,589d28a3-4a76-4a29-9ab2-540343c335b4,1,MDBCA4BLL/A,IPH,1,1330.97,0.0,332.74,1663.71,2021-05-16 09:06:59
LINE-6EC249FAA72647,450a41ef-e49e-458e-8fa8-d3064e8d6de8,1,M8EA5B8LL/A,IPH,1,923.51,0.0,230.88,1154.39,2021-04-14 10:18:02
LINE-F5C9DF7154ED46,f8c0c9fe-d5c4-472e-9f76-5f9426b7a7e6,1,M9015A1LL/A,IPH,1,872.79,0.0,218.2,1090.99,2021-11-20 17:35:12
LINE-B2C10D2EA4E844,13a84195-f244-4551-930a-3610c32051ea,1,M4C6BB8LL/A,MAC,1,1353.65,0.0,338.41,1692.06,2021-02-19 20:04:44
LINE-1D6EBE72917945,87705000-8368-42a4-8d9e-ab4feea051d5,1,M85E348LL/A,IPH,1,733.32,0.0,183.33,916.65,2021-12-04 15:15:52
LINE-102D5989110945,153c55f9-1ddd-4a4e-a83d-a730b58754a7,1,M57EA02LL/A,WCH,1,269.01,0.0,67.25,336.26,2021-12-12 13:04:32
LINE-1D6D48CC490345,e6afe00d-cd02-4847-8ba1-37b91cddfdae,1,MB5EF2FLL/A,AIR,1,194.77,9.74,46.26,231.29,2021-06-10 20:04:23
LINE-32888203474B4C,7564ef4a-4a56-46a0-8b4b-cdc7421a3117,1,MF9A435LL/A,ACC,2,36.95,0.0,18.48,92.38,2021-05-27 13:05:32
LINE-73C5E88DC5344B,bf45d7b7-ae52-410f-bbc3-070c7afb3928,1,MB5931FLL/A,AIR,1,160.92,8.05,38.22,191.09,2021-07-19 16:57:45
LINE-C85C271C6FC04E,19070ca8-7f6f-4e03-aff7-91c1b0d9e77e,1,M86AB67LL/A,ACC,2,131.79,13.18,62.6,313.0,2021-01-20 17:31:11
LINE-3CFFC9F84E7843,01ac15d9-ad9e-4365-8490-783dabf0320b,1,M456FEBLL/A,ACC,2,173.52,0.0,86.76,433.8,2021-12-23 09:14:14
LINE-56248F4D97654F,a48ccbcf-61d8-4882-b11d-7dc3dac2be89,1,M8C3384LL/A,ACC,1,86.34,4.32,20.51,102.53,2021-02-26 14:52:41
LINE-F4D5AEFB417F47,7c069ff8-127d-4b4b-a88e-ce046f90fe70,1,M1F574ALL/A,IPH,1,1507.31,150.73,339.14,1695.72,2021-11-27 09:47:43
LINE-451610D5D17F4C,6928122e-cd66-4f69-a4d8-df1e30a54630,1,M86AB67LL/A,ACC,1,47.46,2.37,11.27,56.36,2021-03-22 14:48:20
LINE-F83DD2486FEF4D,50aa3169-32e2-4a88-ad26-b1f2c225d4b6,1,MB9AD20LL/A,IPH,1,1426.27,0.0,356.57,1782.84,2021-08-10 19:37:14
LINE-C107147A194749,0d00f8a4-917c-4889-94e1-447edca90dff,1,MD02F26LL/A,IPD,1,933.33,0.0,233.33,1166.66,2021-12-29 09:47:56
LINE-5E92615800D04E,a42da861-4ed4-4fab-825b-42bfc2e65eba,1,M86AB67LL/A,ACC,1,152.83,7.64,36.3,181.49,2021-12-26 12:04:21
LINE-5B3B339C1D174A,d41db80b-1bd8-46e5-835d-076ebda4061e,1,ME32E46LL/A,IPH,1,1487.77,0.0,371.94,1859.71,2021-09-23 18:59:30
LINE-CCA5E4EE9E7947,1da3f6bb-5939-4292-a89f-2f04fe300fc0,1,M29B226LL/A,IPH,1,1186.98,0.0,296.75,1483.73,2021-03-31 10:57:58
LINE-618C9F772FE34A,e63c1c13-4854-4ac9-a169-2baece1e2db1,1,M61D168LL/A,IPH,1,1401.0,0.0,350.25,1751.25,2021-10-24 19:09:28
LINE-DC80CA2478C84E,48684329-d437-447e-a404-80b7625d64d6,1,M469693LL/A,ACC,1,138.03,6.9,32.78,163.91,2021-08-06 14:50:17
LINE-1DA896782BEF45,d963db67-3ec8-48a1-98bd-4959b4a80d39,1,M456FEBLL/A,ACC,1,78.12,0.0,19.53,97.65,2021-05-08 21:34:57
LINE-61DF2B5EDA704E,aa1a5945-41a1-498f-840c-379e7d2683ca,1,M15E0B2LL/A,MAC,1,3953.87,0.0,988.47,4942.34,2021-12-15 17:54:25
LINE-9C48AC2034DC46,23be465a-4fe5-4449-be97-fc924e8787a1,1,M18A9D8LL/A,AIR,1,133.6,6.68,31.73,158.65,2021-11-13 15:50:50
LINE-7D5B96449ADD46,74a54a2d-ccdb-47a0-b0dc-3dfa034da62c,1,ME8BAA3LL/A,ACC,1,50.09,0.0,12.52,62.61,2021-07-05 22:15:29
LINE-7C9B1F997BCC47,78b39773-dc64-4ecf-851a-8d49d17b6133,1,M7B3E51LL/A,HMP,1,431.08,0.0,107.77,538.85,2021-12-18 17:20:29
LINE-13A68BD2B81747,c0a654b5-bb1b-42e4-b3e5-40fc756f087e,1,MC23F1CLL/A,IPH,1,909.46,45.47,216.0,1079.99,2021-05-25 15:28:13
LINE-21406CCB42E641,83afbf70-08c4-4965-a6e9-7f796a389bb8,1,MD6A5A5LL/A,IPH,1,1213.86,0.0,303.46,1517.32,2021-08-10 22:48:39
LINE-1312C816315642,80e85af5-4169-409d-9ddf-76af7bc59a8d,1,MFB31DBLL/A,IPH,1,737.03,0.0,184.26,921.29,2021-12-11 20:14:03
LINE-69C91CF65AC346,9741c417-fae9-4659-bbda-133d6f06a260,1,M456FEBLL/A,ACC,1,143.75,7.19,34.14,170.7,2021-11-29 15:26:50
