transaction_sk,transaction_id,transaction_timestamp,customer_id,store_id,channel_id,country_code,payment_method,currency,gross_amount,total_discount,total_tax,net_total,created_at,source_system
b645c89f-d2d2-4fcd-ba2f-687d7e4e643d,TXN-8634C80BED00,2021-09-16 08:56:18,8e6d1a76-42a4-462d-bc6b-298e6636e3d6,SE_0002,POS,SE,Mastercard,SEK,834.47,0.0,208.62,1043.09,2021-09-16 08:56:18,SAP_SD
cc6e522d-ba83-4cac-8dae-255a688a3d91,TXN-BE68C8E7635B,2021-03-16 02:07:00,8e6d1a76-42a4-462d-bc6b-298e6636e3d6,,ONLINE,SE,American Express,SEK,212.06,0.0,53.02,265.08,2021-03-16 02:07:00,SAP_SD
0247591f-367c-4126-a7ff-f1fe97b7421f,TXN-DD714573DE60,2021-10-12 18:40:25,8e6d1a76-42a4-462d-bc6b-298e6636e3d6,,ONLINE,SE,Apple Pay,SEK,2328.47,0.0,582.12,2910.59,2021-10-12 18:40:25,SAP_SD
f507f9d1-cfaa-4558-b1aa-d5646eb19f85,TXN-C77FD8C2EB13,2021-07-28 14:42:50,8e6d1a76-42a4-462d-bc6b-298e6636e3d6,SE_0002,POS,SE,Cash,SEK,162.53,0.0,40.63,203.16,2021-07-28 14:42:50,SAP_SD
b324449d-4efe-49fc-8606-23209e923872,TXN-D27F8785AF14,2021-08-08 14:24:45,8e6d1a76-42a4-462d-bc6b-298e6636e3d6,,ONLINE,SE,Apple Pay,SEK,787.73,0.0,196.93,984.66,2021-08-08 14:24:45,SAP_SD
47f17fcb-eac8-48d9-9870-cd82f72ce7d8,TXN-24ABD3DB104B,2021-07-20 12:55:25,8e6d1a76-42a4-462d-bc6b-298e6636e3d6,SE_0002,POS,SE,Apple Pay,SEK,60.46,0.0,15.12,75.58,2021-07-20 12:55:25,SAP_SD
fd2f100b-697a-49ce-97ae-69808528d26b,TXN-A4B54C0FE1F4,2021-01-08 20:47:03,93cd19b4-d711-44f2-8f3b-712ef3500a81,SE_0001,POS,SE,Cash,SEK,159.73,15.97,35.94,179.7,2021-01-08 20:47:03,SAP_SD
bdf05be1-9e7a-4594-a7ad-e7876558553c,TXN-40B7AA4A9577,2021-08-27 15:14:26,93cd19b4-d711-44f2-8f3b-712ef3500a81,SE_0001,POS,SE,Visa,SEK,1243.19,0.0,310.8,1553.99,2021-08-27 15:14:26,SAP_SD
340fe97f-069f-44d6-ae8b-4fe389f992bd,TXN-8A7ED33DED34,2021-02-28 11:06:38,93cd19b4-d711-44f2-8f3b-712ef3500a81,SE_0002,POS,SE,Discover,SEK,872.71,0.0,218.18,1090.89,2021-02-28 11:06:38,SAP_SD
212f1ab5-6a46-460f-97cc-0c7c727d058f,TXN-EEE7D93D3FC7,2021-07-31 15:42:15,8d850015-554d-4f6f-968e-1e8d2427a297,SE_0001,POS,SE,Apple Financing,SEK,1186.35,0.0,296.59,1482.94,2021-07-31 15:42:15,SAP_SD
ee787f35-a14c-4bf5-a199-eec46417e636,TXN-3A7F31531630,2021-04-29 09:04:02,8d850015-554d-4f6f-968e-1e8d2427a297,SE_0001,POS,SE,Bank EMI,SEK,1514.43,75.72,359.68,1798.39,2021-04-29 09:04:02,SAP_SD
4749ed9f-7eb3-4aa5-983d-5e5a8adf69b6,TXN-4071088C48CC,2021-11-17 15:26:53,8d850015-554d-4f6f-968e-1e8d2427a297,SE_0001,POS,SE,Mastercard,SEK,229.68,0.0,57.42,287.1,2021-11-17 15:26:53,SAP_SD
8a2b3700-5b22-4638-804c-294a4de2c063,TXN-6712A29EA812,2021-11-02 09:24:51,98e7c68a-1d2f-4eb7-9065-60de61a280e1,SE_0002,POS,SE,Apple Financing,SEK,108.32,0.0,27.08,135.4,2021-11-02 09:24:51,SAP_SD
f9e8cbb1-c437-4aa6-800e-4ad1eab54d26,TXN-5B74E15C0008,2021-11-20 11:00:45,ba7799eb-9250-4e87-aeb9-46cb9f0285a0,SE_0002,POS,SE,Apple Financing,SEK,135.23,13.52,30.43,152.14,2021-11-20 11:00:45,SAP_SD
2825b960-083f-4abd-85d7-681e5c05f221,TXN-11AE63D7E67F,2021-08-17 08:15:16,ba7799eb-9250-4e87-aeb9-46cb9f0285a0,SE_0002,POS,SE,Discover,SEK,1160.55,0.0,290.14,1450.69,2021-08-17 08:15:16,SAP_SD
338a3d30-60ba-4a57-b92c-c2a7764e373a,TXN-79158D5A010E,2021-12-14 12:10:46,ba7799eb-9250-4e87-aeb9-46cb9f0285a0,SE_0001,POS,SE,Corporate Financing,SEK,163.92,0.0,40.98,204.9,2021-12-14 12:10:46,SAP_SD
8d61f059-5f35-4ffd-afa7-f60660a8bf9d,TXN-1D353A8EBEFF,2021-12-31 11:09:14,3ad54dd5-e72e-4abe-b87b-477d202354c4,SE_0001,POS,SE,Bank EMI,SEK,101.18,5.06,24.03,120.15,2021-12-31 11:09:14,SAP_SD
d3915398-661c-402d-92a6-e278b411dd5c,TXN-EEF167F30E96,2021-05-11 16:21:03,3ad54dd5-e72e-4abe-b87b-477d202354c4,SE_0001,POS,SE,Mastercard,SEK,1587.77,79.39,377.09,1885.47,2021-05-11 16:21:03,SAP_SD
7bba30c1-21a6-4fe3-9197-3c037e6a66e4,TXN-621337BA1AEC,2021-05-15 08:17:37,3ad54dd5-e72e-4abe-b87b-477d202354c4,SE_0002,POS,SE,Apple Financing,SEK,1516.25,0.0,379.06,1895.31,2021-05-15 08:17:37,SAP_SD
bb481225-b2c8-49d7-9362-3d2368e7b004,TXN-EB0BC3335F1E,2021-06-18 18:08:39,87fe8e7f-4a82-43c3-b830-fa48839e8b08,SE_0001,POS,SE,Apple Pay,SEK,63.76,0.0,15.94,79.7,2021-06-18 18:08:39,SAP_SD
589d28a3-4a76-4a29-9ab2-540343c335b4,TXN-9AD9615AD70B,2021-05-16 09:06:59,87fe8e7f-4a82-43c3-b830-fa48839e8b08,,ONLINE,SE,American Express,SEK,1330.97,0.0,332.74,1663.71,2021-05-16 09:06:59,SAP_SD
450a41ef-e49e-458e-8fa8-d3064e8d6de8,TXN-B41ED7AC5461,2021-04-14 10:18:02,5c2ea17e-7820-4b73-9b9f-5d248980b8e4,SE_0001,POS,SE,Corporate Financing,SEK,923.51,0.0,230.88,1154.39,2021-04-14 10:18:02,SAP_SD
