transaction_sk,transaction_id,transaction_timestamp,customer_id,store_id,channel_id,country_code,payment_method,currency,gross_amount,total_discount,total_tax,net_total,created_at,source_system
ba2958ba-ed55-4184-9d07-d759ac69e4f5,TXN-E7209FB9FA5C,2025-02-26 15:19:16,824c5a9b-a46e-4499-b8d5-0bc66ebb4bb9,SE_0001,POS,SE,American Express,SEK,39.55,0.0,9.89,49.44,2025-02-26 15:19:16,SAP_SD
281e250f-87aa-4395-93f8-79060448bdbf,TXN-F299CE9B2E8C,2025-03-09 15:47:00,7e1427bb-b6a3-4b58-9346-dac4ff79b9f7,,ONLINE,SE,Cash,SEK,867.05,0.0,216.76,1083.81,2025-03-09 15:47:00,SAP_SD
81324369-3fcc-460f-857a-60e72ff782c0,TXN-0E8DF93C675A,2025-05-30 09:17:11,dc735083-195e-4f57-9109-d89f059d027e,,ONLINE,SE,Bank EMI,SEK,194.97,0.0,48.74,243.71,2025-05-30 09:17:11,SAP_SD
d4d0e7f3-99e0-4f30-a0cc-6836429ab2d2,TXN-06D4068422B8,2025-10-25 18:19:46,dc735083-195e-4f57-9109-d89f059d027e,SE_0002,POS,SE,Cash,SEK,1023.89,0.0,255.97,1279.86,2025-10-25 18:19:46,SAP_SD
ec00bb7f-e896-464d-9f04-83a3a4d26878,TXN-4B16F6C6D3D8,2025-03-01 12:22:30,dc735083-195e-4f57-9109-d89f059d027e,,ONLINE,SE,Cash,SEK,139.04,0.0,34.76,173.8,2025-03-01 12:22:30,SAP_SD
cf4a24ad-7a52-4026-bcd5-1baf02a63e30,TXN-F93E96F881AC,2025-07-19 17:28:04,879f4e11-6322-48ca-b5ab-2c40068bd5ba,SE_0001,POS,SE,Cash,SEK,1497.31,74.87,355.61,1778.05,2025-07-19 17:28:04,SAP_SD
5d00b85a-eee4-4e8e-b13e-3e3cb42ef969,TXN-E20F2E02AA8E,2025-11-20 13:34:04,879f4e11-6322-48ca-b5ab-2c40068bd5ba,SE_0002,POS,SE,Cash,SEK,820.26,41.01,194.81,974.06,2025-11-20 13:34:04,SAP_SD
d4f5f721-ffb8-4706-89a9-013bf2620212,TXN-AC4EBC3BB549,2025-10-16 14:45:19,879f4e11-6322-48ca-b5ab-2c40068bd5ba,SE_0002,POS,SE,Cash,SEK,110.84,5.54,26.32,131.62,2025-10-16 14:45:19,SAP_SD
50de1afe-5774-4d3d-83fd-013b784fbfcd,TXN-97093C937A78,2025-04-10 17:39:10,1cb86da7-191c-4089-be27-14152bac9595,SE_0001,POS,SE,Visa,SEK,158.12,15.81,35.58,177.89,2025-04-10 17:39:10,SAP_SD
8a3196cd-1390-46a6-9fb9-a544aa6ec133,TXN-A19730984440,2025-02-12 17:18:48,1cb86da7-191c-4089-be27-14152bac9595,,ONLINE,SE,Cash,SEK,46.38,0.0,11.6,57.98,2025-02-12 17:18:48,SAP_SD
8fdd4160-7be7-4428-925b-54aa355b3768,TXN-07B8AEBC15C1,2025-05-07 14:51:40,1cb86da7-191c-4089-be27-14152bac9595,SE_0002,POS,SE,Apple Pay,SEK,115.86,0.0,28.96,144.82,2025-05-07 14:51:40,SAP_SD
b86e93b1-3a6d-4e30-aafd-3f0654765622,TXN-8913636FDE74,2025-01-05 19:20:34,cf53c703-37c9-4b23-9974-e5ff0dd26142,SE_0002,POS,SE,Visa,SEK,1205.96,0.0,301.49,1507.45,2025-01-05 19:20:34,SAP_SD
