transaction_line_id,transaction_sk,line_number,sku_code,category_code,quantity,unit_price,discount_amount,tax_amount,line_total,created_at
LINE-B592502A162F4D,93a79e17-02dc-49c4-b21c-3e472a329a10,1,ME8BAA3LL/A,ACC,2,157.38,0.0,78.69,393.45,2023-07-30 08:50:53
LINE-99A81BBF70F34A,8b407ff3-b130-45aa-89b4-b7bffcc9ef48,1,MCF3B24LL/A,IPH,1,1464.06,0.0,366.01,1830.07,2023-11-13 12:21:00
LINE-304AAF19FD174A,bce01541-579a-4b06-89ab-cbbbadae456b,1,M648789LL/A,IPD,1,1289.1,0.0,322.27,1611.37,2023-11-10 17:53:46
LINE-C09A48C6F60843,310bf2e7-6575-42bf-a528-cddf2b273d61,1,MB93F33LL/A,IPH,1,1254.97,62.75,298.06,1490.28,2023-10-14 08:27:46
LINE-DE59EE5B2A4141,d85756cb-70b3-40f8-a087-170846e34692,1,ME8BAA3LL/A,ACC,2,181.55,0.0,90.78,453.88,2023-01-07 12:19:15
LINE-04B0E31AD6A744,4825b4bf-3f28-4f3c-a09f-f17540ea2e68,1,M8C3384LL/A,ACC,2,116.05,0.0,58.02,290.12,2023-12-06 19:23:17
LINE-C1C753840CD640,162edd62-5b18-4be4-8f66-e64cf8642dbb,1,MA6C849LL/A,IPH,1,1407.81,0.0,351.95,1759.76,2023-10-19 00:43:21
LINE-572823C20E6F41,1fbe5065-ab83-403f-bcf3-b28adb18a8bc,1,MDEDDB7LL/A,IPH,1,1359.42,0.0,339.86,1699.28,2023-10-09 08:24:23
LINE-0E759F2730CC45,570b2046-6681-4aa3-b31e-af84c5a3ace9,1,M62D832LL/A,IPH,1,1486.96,0.0,371.74,1858.7,2023-04-06 08:09:42
LINE-AD179D67D4F044,a93e2dd5-46b0-4a24-bfe3-47bd2dc841a5,1,M80637DLL/A,IPH,1,1343.68,0.0,335.92,1679.6,2023-10-25 22:36:47
LINE-6C217B7D3FDD4A,cb24071b-5612-4e88-9cd4-9bfbd7aa5266,1,M86AB67LL/A,ACC,2,131.04,0.0,65.52,327.6,2023-02-28 19:24:10
LINE-898C6BF3D43540,bf9e1845-0d6b-4a9a-9002-21d09577c45b,1,M469693LL/A,ACC,1,55.89,0.0,13.97,69.86,2023-09-17 21:12:33
LINE-DF8A0176C7464B,b760d88a-c556-4259-81a5-1c2e9e1e7453,1,M18A9D8LL/A,AIR,1,177.72,8.89,42.21,211.04,2023-02-11 16:15:14
LINE-1C98E3FD394142,f80a430d-b9f0-45fe-8edd-9de664547c07,1,MFD920BLL/A,IPD,1,728.28,0.0,182.07,910.35,2023-12-17 11:09:54
LINE-F217BE53C87F42,92c07cfd-e2be-4ed3-bcd5-eaf65ed73f97,1,MDAD2D8LL/A,IPH,1,940.64,0.0,235.16,1175.8,2023-11-22 13:29:03
LINE-0E6C333FBBE743,81e41ed2-6b49-4fae-8f2a-76fe0aa7fa54,1,MCABC96LL/A,MAC,1,1010.73,50.54,240.05,1200.24,2023-12-03 17:07:48
LINE-52AE99335F234D,9d6a968f-88d4-4a42-811a-8c4793bd595f,1,M823059LL/A,WCH,1,625.42,0.0,156.35,781.77,2023-05-20 18:19:10
LINE-28B7570F069544,b57fabd4-42f4-4a25-b96f-bab122b721b6,1,M18A9D8LL/A,AIR,2,195.45,19.55,92.84,464.19,2023-07-02 22:07:40
LINE-009FC2A6850A4C,45b1ede9-f4d1-4ba4-8666-6753aeca0b5b,1,MB5931FLL/A,AIR,2,212.77,0.0,106.39,531.93,2023-08-03 10:07:47
LINE-48B089EDBDD046,8ff75f2d-d8d5-4d18-88e9-bbe3b1e0a062,1,M088F14LL/A,TV,1,148.07,7.4,35.17,175.84,2023-10-07 10:51:47
LINE-B8B711764A9F4F,051b127a-4644-4cd7-987c-0562440e3bc6,1,M3AC87DLL/A,IPH,1,1417.48,0.0,354.37,1771.85,2023-10-11 05:15:26
LINE-BB57B09D723B4C,3ed48ae4-ae12-43ad-8c84-0c30a526efb4,1,MBBFE23LL/A,TV,1,155.21,7.76,36.86,184.31,2023-11-13 12:27:57
LINE-49CCF3AC514745,79db14cb-152a-4a61-8fa1-5acbf3281b48,1,M856D38LL/A,IPH,1,1462.33,0.0,365.58,1827.91,2023-07-20 17:41:33
LINE-6A27024D8E514C,4edf24f5-0bf3-4d62-bc47-9c19df53adf7,1,M088F14LL/A,TV,1,144.59,0.0,36.15,180.74,2023-05-13 21:48:09
LINE-376DAF552FF54A,79049bce-234f-47e7-8adf-9de61af83a2e,1,M564811LL/A,ACC,1,72.94,0.0,18.23,91.17,2023-12-18 18:33:32
LINE-5EFB9CC1A7A04B,eeea64ee-7312-4acf-8e64-469904e69dab,1,M456FEBLL/A,ACC,2,96.73,0.0,48.37,241.83,2023-07-02 07:48:23
LINE-CA31750D97384B,76d80e87-c9ce-4dd9-875b-1f70ed62a4b5,1,M107055LL/A,AIR,2,225.27,0.0,112.64,563.18,2023-09-23 14:53:26
LINE-DB8DCFC5FAA84B,6a4d3dd0-ff45-454f-93bf-c7532e962463,1,M56445ELL/A,IPH,1,824.33,0.0,206.08,1030.41,2023-12-06 16:56:29
LINE-8B473DD29E5A41,31ebb20e-1a02-4cdd-ae6b-37498c43053c,1,MB5EF2FLL/A,AIR,1,188.09,9.4,44.67,223.36,2023-02-05 09:14:26
LINE-CD0610D0993242,1e5c73b9-15cb-48e6-a7e7-59bfb65b0832,1,M8CCFE5LL/A,IPH,1,1067.8,106.78,240.25,1201.27,2023-11-29 19:00:20
LINE-F0A5101F5A6F46,dffc8791-6ad1-4b0f-ad9c-b02e6e77f782,1,M01F3FFLL/A,IPD,1,538.46,53.85,121.15,605.76,2023-08-22 10:10:29
LINE-4A16129083F44F,54cc5dbc-6539-41db-be41-ce6249b2ada7,1,M09ADBFLL/A,ACC,2,106.07,21.21,47.73,238.66,2023-01-05 17:16:07
LINE-B2D15506FF854F,24d33166-bb5a-47c0-8316-aa71eda91bad,1,M86AB67LL/A,ACC,2,94.21,0.0,47.1,235.52,2023-10-07 16:14:10
LINE-E81ED5200BB040,8138ca89-9735-4ae8-914c-c6cbb7004c42,1,M18A9D8LL/A,AIR,2,183.61,18.36,87.22,436.08,2023-10-16 16:03:34
LINE-8D4E67641A3D4F,3eb438cd-17c2-450a-960a-8c9b086ec907,1,M8AB61FLL/A,WCH,1,390.12,0.0,97.53,487.65,2023-12-04 23:52:42
LINE-9AA828C718D940,17df8fb4-c9f3-46b9-808d-4ef5802c10e4,1,M3C3089LL/A,IPH,1,1557.09,155.71,350.34,1751.72,2023-11-03 11:51:16
LINE-C990DA229F2A4B,d1d7e05e-42d2-477e-aa87-41e43a3426a1,1,MB99BBBLL/A,TV,1,191.89,0.0,47.97,239.86,2023-09-30 12:19:30
LINE-01DE2AFE34E843,3f5d18a8-0709-48de-83fb-ad2bf6a0a18e,1,M7B3E51LL/A,HMP,1,442.04,0.0,110.51,552.55,2023-09-21 14:49:58
LINE-FE13EF4901A94B,ac22574d-9437-43d7-b9f6-22c186ce769d,1,M44A877LL/A,TV,1,184.04,0.0,46.01,230.05,2023-11-29 00:34:57
LINE-70C657B43AB541,5654e4d2-9663-4d15-a560-8679fa54ed92,1,MCD7F9ELL/A,DSP,1,2452.44,0.0,613.11,3065.55,2023-10-06 10:25:06
LINE-BB346A9FB5B44F,9dca6318-c425-4a20-bc2d-c95e8047d242,1,MC0215CLL/A,IPH,1,1342.71,0.0,335.68,1678.39,2023-10-26 17:59:28
LINE-3B06B1B2C26746,914d8276-4ea2-441b-8997-d184901f2946,1,MEA45C5LL/A,AIR,1,205.06,20.51,46.14,230.69,2023-07-23 06:53:58
LINE-FFE338F3E51345,f6925e1d-8739-4fea-bd61-c7fe2aa30326,1,M11545ELL/A,IPD,1,855.3,0.0,213.82,1069.12,2023-03-04 09:54:50
