transaction_sk,transaction_id,transaction_timestamp,customer_id,store_id,channel_id,country_code,payment_method,currency,gross_amount,total_discount,total_tax,net_total,created_at,source_system
e2b869a0-cb0b-4511-a83d-634e18cee128,TXN-B8137B056287,2019-07-18 20:28:55,866e4c1c-b7cb-4a3e-b405-05d4d85f7920,,ONLINE,SE,Cash,SEK,217.48,0.0,54.37,271.85,2019-07-18 20:28:55,SAP_SD
9fc19bf5-6141-4e63-a0bf-0ef6f92b2870,TXN-47FC5BE141A4,2019-07-23 11:49:30,866e4c1c-b7cb-4a3e-b405-05d4d85f7920,SE_0001,POS,SE,Visa,SEK,482.7,0.0,120.67,603.37,2019-07-23 11:49:30,SAP_SD
18a3d9f1-22de-493d-84c2-f62763e62490,TXN-341F596C0E0C,2019-07-25 15:36:56,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0001,POS,SE,Discover,SEK,443.3,22.17,105.28,526.41,2019-07-25 15:36:56,SAP_SD
7a3f5658-e9c5-4952-bf2c-95306bb04703,TXN-FCAEA978B6EC,2019-12-20 10:52:56,78f48789-fe7f-4925-a366-01f9779c3732,SE_0002,POS,SE,Apple Financing,SEK,1546.42,0.0,386.61,1933.03,2019-12-20 10:52:56,SAP_SD
0bc19bb3-421e-41cd-82f6-2a786a01494f,TXN-8CD488572EF6,2019-11-04 09:39:42,78f48789-fe7f-4925-a366-01f9779c3732,SE_0001,POS,SE,Visa,SEK,668.92,0.0,167.23,836.15,2019-11-04 09:39:42,SAP_SD
500c1321-61d1-4c0d-aac6-7353b653389c,TXN-0E52D10B8690,2019-12-06 18:48:19,78f48789-fe7f-4925-a366-01f9779c3732,SE_0001,POS,SE,Visa,SEK,88.93,0.0,22.23,111.16,2019-12-06 18:48:19,SAP_SD
33084123-0334-433e-9769-3d7bbc0daeee,TXN-168AAD1ADD58,2019-12-08 13:58:14,a98f248f-e936-4a47-b40e-99c17d7af0e1,SE_0002,POS,SE,Visa,SEK,177.55,17.76,39.95,199.74,2019-12-08 13:58:14,SAP_SD
434f97e9-9008-467c-a668-62550942f404,TXN-6FF634C69980,2019-09-09 12:45:22,d7f104b9-d9fd-45f1-85ee-90d003d1769c,SE_0002,POS,SE,American Express,SEK,3100.85,0.0,775.21,3876.06,2019-09-09 12:45:22,SAP_SD
bdb64be3-1620-4579-912b-af1a26bd83e8,TXN-2FF51F4363C3,2019-01-24 17:16:09,93c7ea5b-f29c-4f28-9283-ee5f9ef9c467,SE_0002,POS,SE,American Express,SEK,495.66,0.0,123.92,619.58,2019-01-24 17:16:09,SAP_SD
d6fa6307-9c01-4261-84f9-4f6127734d87,TXN-B94C7ED39ED9,2019-03-31 15:43:07,d9c1b5da-2cf2-4f90-9eb6-3dab52f35df7,SE_0002,POS,SE,Discover,SEK,404.5,0.0,101.12,505.62,2019-03-31 15:43:07,SAP_SD
caa1eace-1475-41d3-a7b7-8d0b8e208efd,TXN-9C48E67B5E03,2019-12-29 10:49:03,d9c1b5da-2cf2-4f90-9eb6-3dab52f35df7,SE_0001,POS,SE,Bank EMI,SEK,1128.38,0.0,282.1,1410.48,2019-12-29 10:49:03,SAP_SD
21b4f44a-4f7f-4323-b41b-775a7d53f7f8,TXN-8A251CADA226,2019-09-02 10:58:22,ab2cdccb-1031-4201-be59-5af03d846852,SE_0001,POS,SE,Corporate Financing,SEK,158.35,7.92,37.61,188.04,2019-09-02 10:58:22,SAP_SD
74c0e632-09ad-41e2-9e30-55dcfec70272,TXN-60402BA136CD,2019-12-04 20:43:28,ab2cdccb-1031-4201-be59-5af03d846852,SE_0001,POS,SE,Mastercard,SEK,142.78,7.14,33.91,169.55,2019-12-04 20:43:28,SAP_SD
10df3e46-0f62-4f7a-8cdd-ec7cbc5640f4,TXN-87545163B164,2019-10-16 16:38:37,56bd0327-2b79-4feb-9ec3-7178fa7e9ef6,SE_0001,POS,SE,Corporate Financing,SEK,286.78,0.0,71.69,358.47,2019-10-16 16:38:37,SAP_SD
8b210767-118b-46b4-b90e-8efe2ec0a254,TXN-A328DFA7DF1E,2019-12-06 13:10:19,889fc137-3ce3-477d-832a-b230d83a92ca,SE_0002,POS,SE,Apple Pay,SEK,1412.35,0.0,353.09,1765.44,2019-12-06 13:10:19,SAP_SD
44390618-3219-4949-8fd2-81d713203e2a,TXN-59B3F4F7AFFC,2019-09-02 15:23:21,889fc137-3ce3-477d-832a-b230d83a92ca,SE_0002,POS,SE,Discover,SEK,304.07,15.2,72.22,361.09,2019-09-02 15:23:21,SAP_SD
f4fe06e2-f6f5-49b4-a932-4529253dc93d,TXN-25AEB3782A7B,2019-11-22 10:42:09,2882c845-3669-47e0-b9e6-08618fbd8ca4,SE_0002,POS,SE,Bank EMI,SEK,94.05,4.7,22.34,111.69,2019-11-22 10:42:09,SAP_SD
52740781-8b4e-4ff4-9231-814343a0b942,TXN-68813483A2F1,2019-05-25 00:48:09,2882c845-3669-47e0-b9e6-08618fbd8ca4,,ONLINE,SE,Mastercard,SEK,735.06,0.0,183.76,918.82,2019-05-25 00:48:09,SAP_SD
0ebfc817-1b64-4128-aed1-b16392a17acc,TXN-4514961901DF,2019-12-19 10:00:56,d7ddd26e-a198-4abf-9eb5-4e85157101ef,SE_0001,POS,SE,Visa,SEK,1015.8,0.0,253.95,1269.75,2019-12-19 10:00:56,SAP_SD
2f8ae3da-c7ae-4ddf-8870-01e754cbe979,TXN-2561FA22F871,2019-10-27 09:50:31,d7ddd26e-a198-4abf-9eb5-4e85157101ef,SE_0002,POS,SE,Discover,SEK,1236.25,61.81,293.61,1468.05,2019-10-27 09:50:31,SAP_SD
d68584fb-2341-4e07-96d0-bf81d0392724,TXN-4F567C7166D2,2019-12-26 19:02:51,d7ddd26e-a198-4abf-9eb5-4e85157101ef,SE_0001,POS,SE,Apple Financing,SEK,1137.42,56.87,270.14,1350.69,2019-12-26 19:02:51,SAP_SD
d43ef440-bcb7-464f-86ba-915ea75e0c4e,TXN-4AB097D74223,2019-10-10 17:56:22,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0001,POS,SE,Mastercard,SEK,298.3,0.0,74.58,372.88,2019-10-10 17:56:22,SAP_SD
063a3b41-0373-4541-8cae-5d5a48a97e9b,TXN-045EFCFE3367,2019-08-11 09:11:05,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0001,POS,SE,Discover,SEK,192.41,0.0,48.1,240.51,2019-08-11 09:11:05,SAP_SD
33def9c3-cfee-4318-8ff9-f12d9c158c42,TXN-DA93C7B12161,2019-12-04 15:10:47,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0002,POS,SE,Mastercard,SEK,3594.16,179.71,853.61,4268.06,2019-12-04 15:10:47,SAP_SD
2c8c696c-54b1-4037-ac20-cabf62958c36,TXN-F20E533B2BE4,2019-01-27 11:27:47,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0002,POS,SE,Visa,SEK,168.77,8.44,40.08,200.41,2019-01-27 11:27:47,SAP_SD
0eb973cc-6c04-4e4a-b5aa-7899c6985473,TXN-5C9DBB23DA45,2019-10-05 12:32:51,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0001,POS,SE,Visa,SEK,709.29,0.0,177.32,886.61,2019-10-05 12:32:51,SAP_SD
15cbf9ac-c9f1-4f50-a645-9e172eb9d299,TXN-44DBBD213486,2019-08-08 16:37:28,0d9ce865-2d98-4f17-bfc0-71e77453c389,SE_0001,POS,SE,Visa,SEK,419.54,20.98,99.64,498.2,2019-08-08 16:37:28,SAP_SD
