transaction_sk,transaction_id,transaction_timestamp,customer_id,store_id,channel_id,country_code,payment_method,currency,gross_amount,total_discount,total_tax,net_total,created_at,source_system
bcce02d1-8ff9-476d-891e-d4a130d63421,TXN-759F5FE1F3E9,2020-11-28 15:01:30,5ceb6753-e0a8-4a39-a634-611551f5d63f,SE_0001,POS,SE,Mastercard,SEK,187.6,9.38,44.55,222.77,2020-11-28 15:01:30,SAP_SD
ff2fe87c-8681-46d5-a209-0032a50b87c7,TXN-6D77EBBD7C81,2020-11-20 19:54:06,5ceb6753-e0a8-4a39-a634-611551f5d63f,SE_0002,POS,SE,Bank EMI,SEK,1393.13,0.0,348.28,1741.41,2020-11-20 19:54:06,SAP_SD
a9484ea6-a5ae-4daa-9e99-4b5e779dfc79,TXN-F7B28D913781,2020-08-29 15:28:10,5ceb6753-e0a8-4a39-a634-611551f5d63f,SE_0001,POS,SE,Bank EMI,SEK,344.46,0.0,86.11,430.57,2020-08-29 15:28:10,SAP_SD
cc9545e4-6e10-4d0a-bc6d-35eb517ac0a7,TXN-783B74F9F21A,2020-06-04 19:49:14,5ceb6753-e0a8-4a39-a634-611551f5d63f,SE_0001,POS,SE,Mastercard,SEK,351.2,0.0,87.8,439.0,2020-06-04 19:49:14,SAP_SD
2e868680-6685-4a6e-8434-abf4da0e42c4,TXN-055DC137B69F,2020-11-12 07:40:19,5ceb6753-e0a8-4a39-a634-611551f5d63f,,ONLINE,SE,Visa,SEK,517.81,0.0,129.45,647.26,2020-11-12 07:40:19,SAP_SD
6cd67317-3007-46e5-947e-da662674b02a,TXN-B36BACA0A685,2020-07-25 22:45:04,5ceb6753-e0a8-4a39-a634-611551f5d63f,,ONLINE,SE,Discover,SEK,976.14,0.0,244.03,1220.17,2020-07-25 22:45:04,SAP_SD
e9293896-2c24-41fc-b193-495fa65cd566,TXN-2FB50210A95A,2020-06-03 09:01:29,5ceb6753-e0a8-4a39-a634-611551f5d63f,,ONLINE,SE,Apple Financing,SEK,719.6,0.0,179.9,899.5,2020-06-03 09:01:29,SAP_SD
618ee294-035a-4642-bd5c-84933d6cc798,TXN-8D12693ABC30,2020-08-23 14:00:49,5ceb6753-e0a8-4a39-a634-611551f5d63f,,ONLINE,SE,Corporate Financing,SEK,138.56,0.0,34.64,173.2,2020-08-23 14:00:49,SAP_SD
60175767-88a5-40d7-94e0-dac644201bf1,TXN-71958C1D91E2,2020-03-07 14:32:51,0142abcd-88f3-4482-b5f5-b06973b2ece9,,ONLINE,SE,Apple Financing,SEK,280.4,0.0,70.1,350.5,2020-03-07 14:32:51,SAP_SD
696e588f-881e-4637-b657-dcc7d984f6a6,TXN-4181C8F401F6,2020-05-30 20:07:28,5887897c-3404-47ae-aa1b-1bb4fd6431d1,,ONLINE,SE,Corporate Financing,SEK,101.07,0.0,25.27,126.34,2020-05-30 20:07:28,SAP_SD
4d8bca0b-1eca-40a8-9f3d-108e0aba3112,TXN-481483BD2C63,2020-12-17 09:33:09,8aa939a5-e8ca-4774-8f64-06263e5462a6,SE_0002,POS,SE,Mastercard,SEK,942.84,0.0,235.71,1178.55,2020-12-17 09:33:09,SAP_SD
0074e677-394f-444a-80b4-da46f1873d41,TXN-3B1DF437C372,2020-05-29 21:49:09,8aa939a5-e8ca-4774-8f64-06263e5462a6,,ONLINE,SE,Corporate Financing,SEK,48.94,2.45,11.62,58.11,2020-05-29 21:49:09,SAP_SD
3bbf3868-9f7c-400d-b3e5-94a5414ace34,TXN-1CC1E9F9CC98,2020-05-18 14:37:02,245b4efe-b928-4fb2-b3e7-8f77ad34efb7,,ONLINE,SE,Corporate Financing,SEK,1587.14,79.36,376.95,1884.73,2020-05-18 14:37:02,SAP_SD
